"Pclass","Sex","Age","SibSp","Parch","Embarked","Count.ticket","Unit.price","Survived"
"1","male",25,"1","0","C",2,27.72085,"1"
"1","female",38,"1","0","C",2,41.0854,"1"
"3","female",22,"0","0","S",1,7.25,"1"
"1","female",42,"0","0","C",5,45.505,"1"
"3","female",1,"0","2","C",3,5.24723333333333,"1"
"1","female",35,"1","0","S",2,26,"1"
"2","female",36,"0","0","S",1,13,"1"
"2","female",17,"0","0","C",1,12,"1"
"1","male",36,"1","2","S",4,30,"1"
"3","male",21,"0","0","S",1,7.7958,"1"
"1","female",23,"1","0","C",3,37.7583333333333,"1"
"3","female",24,"0","2","S",3,5.56666666666667,"1"
"2","female",28,"0","0","S",1,12.65,"1"
"3","male",39,"0","0","S",1,7.925,"1"
"2","male",3,"1","1","S",3,6.25,"1"
"1","female",33,"1","0","Q",3,30,"1"
"3","male",44,"0","0","S",1,7.925,"1"
"2","female",34,"1","1","S",3,10.8333333333333,"1"
"2","female",18,"0","2","S",1,13,"1"
"2","female",28,"1","0","S",2,13,"1"
"2","female",19,"0","0","S",2,13,"1"
"3","male",32,"0","0","S",1,8.05,"1"
"1","male",28,"0","0","S",1,26.55,"1"
"3","female",19,"1","0","S",2,8.05,"1"
"2","female",42,"1","0","S",2,13,"1"
"1","female",14,"1","2","S",4,30,"1"
"2","female",24,"2","3","S",3,6.25,"1"
"2","female",45,"1","1","S",3,8.75,"1"
"2","female",28,"0","0","S",1,13,"1"
"3","male",26,"0","0","S",1,8.1125,"1"
"1","male",4,"0","2","S",3,27.2861,"1"
"2","female",13,"0","1","S",2,9.75,"1"
"1","male",34,"0","0","S",1,26.55,"1"
"3","female",5,"2","1","C",4,4.814575,"1"
"1","male",52,"0","0","S",1,30.5,"1"
"1","male",49,"1","0","C",2,44.5521,"1"
"3","male",29,"0","0","C",1,7.8958,"1"
"1","female",33,"1","0","S",2,25.93125,"1"
"2","female",50,"0","0","S",1,10.5,"1"
"1","male",48,"0","0","S",1,26.55,"1"
"3","female",0.75,"2","1","C",4,4.814575,"1"
"2","female",33,"1","2","S",4,6.9375,"1"
"2","female",23,"0","0","C",1,13.7917,"1"
"3","female",2,"0","1","S",2,6.14375,"1"
"3","female",63,"0","0","S",1,9.5875,"1"
"1","male",25,"1","0","C",2,45.5396,"1"
"1","female",35,"1","0","S",2,45,"1"
"3","male",9,"1","1","S",3,5.3,"1"
"1","female",54,"1","0","C",2,39.13335,"1"
"1","female",16,"0","0","S",3,28.8333333333333,"1"
"2","female",33,"0","2","S",3,8.66666666666667,"1"
"1","male",44,"0","0","S",1,26.55,"1"
"3","male",26,"0","0","S",8,7.061975,"1"
"3","male",29,"0","0","Q",1,7.75,"1"
"1","male",36,"0","0","S",1,26.2875,"1"
"1","female",54,"1","0","C",2,29.7,"1"
"2","female",34,"0","0","S",1,10.5,"1"
"2","female",36,"1","0","S",2,13,"1"
"1","female",30,"0","0","S",4,23.375,"1"
"1","female",44,"0","1","C",2,28.9896,"1"
"2","female",50,"0","0","S",1,10.5,"1"
"2","female",2,"1","1","S",3,8.66666666666667,"1"
"3","female",10,"0","2","C",3,7.45276666666667,"1"
"2","female",7,"0","2","S",3,8.75,"1"
"1","female",30,"0","0","C",3,35.475,"1"
"1","female",22,"0","2","C",1,49.5,"1"
"1","female",36,"0","2","S",2,35.5,"1"
"2","male",32,"1","0","S",2,13,"1"
"2","female",19,"1","0","S",2,13,"1"
"2","male",29,"0","0","C",1,13.8625,"1"
"2","male",8,"1","1","S",4,9.1875,"1"
"1","male",17,"0","2","C",4,27.720825,"1"
"3","male",22,"0","0","C",1,7.225,"1"
"3","female",22,"0","0","S",1,7.775,"1"
"1","female",48,"1","0","C",1,39.6,"1"
"1","female",39,"1","1","S",3,26.55,"1"
"3","female",36,"1","0","S",2,8.7,"1"
"3","male",32,"0","0","S",1,7.8542,"1"
"2","male",62,"0","0","S",1,10.5,"1"
"1","female",53,"2","0","S",2,25.7396,"1"
"1","male",36,"0","0","S",1,26.3875,"1"
"3","female",18,"0","0","Q",1,7.75,"1"
"2","female",34,"0","0","S",1,13,"1"
"1","female",39,"1","0","S",2,27.95,"1"
"3","male",32,"0","0","S",1,7.925,"1"
"2","female",25,"1","1","S",2,15,"1"
"1","female",39,"1","1","C",4,27.720825,"1"
"1","female",18,"0","2","S",3,26.55,"1"
"1","male",60,"1","1","C",2,39.6,"1"
"1","female",52,"1","0","C",2,39.13335,"1"
"2","female",19,"0","0","S",3,11,"1"
"1","male",49,"1","0","C",2,28.4646,"1"
"2","female",24,"2","1","S",2,13.5,"1"
"1","male",35,"0","0","C",1,26.55,"1"
"1","male",27,"0","0","S",1,30.5,"1"
"2","female",22,"1","2","C",4,10.3948,"1"
"1","female",40,"0","0","S",3,51.1541666666667,"1"
"3","female",14.5,"1","0","Q",2,7.75,"1"
"2","female",24,"1","2","S",5,13,"1"
"2","female",4,"2","1","S",4,9.75,"1"
"1","male",42,"1","0","S",2,26.2771,"1"
"3","male",20,"1","1","C",3,5.24723333333333,"1"
"1","female",21,"0","0","S",3,25.9861,"1"
"1","male",80,"0","0","S",1,30,"1"
"1","male",32,"0","0","C",1,30.5,"1"
"2","female",28,"0","0","S",1,13,"1"
"1","female",24,"0","0","C",2,34.65,"1"
"3","male",21,"0","0","S",8,7.061975,"1"
"3","female",0.75,"2","1","C",4,4.814575,"1"
"1","male",48,"1","0","C",3,25.5764,"1"
"1","male",56,"0","0","C",1,35.5,"1"
"3","female",23,"0","0","S",1,7.55,"1"
"2","female",18,"0","1","S",2,11.5,"1"
"3","female",18,"0","0","Q",1,7.8292,"1"
"1","male",50,"2","0","S",2,66.825,"1"
"3","male",20,"1","0","S",1,7.925,"1"
"1","female",33,"1","0","S",2,26,"1"
"2","female",40,"1","1","S",3,13,"1"
"2","male",31,"0","0","S",1,13,"1"
"3","female",18,"0","0","S",1,9.8417,"1"
"1","male",36,"0","1","C",4,34.5099845201238,"1"
"1","male",27,"0","0","C",3,25.5764,"1"
"1","female",15,"0","1","S",4,52.834375,"1"
"1","male",31,"1","0","S",2,28.5,"1"
"3","female",4,"0","1","C",2,6.70835,"1"
"3","male",21,"0","0","S",8,7.061975,"1"
"3","female",18,"0","0","Q",1,7.7333,"1"
"1","female",18,"1","0","C",5,45.505,"1"
"1","male",35,"0","0","S",1,26.2875,"1"
"2","female",45,"0","0","S",1,13.5,"1"
"1","male",42,"0","0","S",1,26.2875,"1"
"1","female",22,"0","0","S",6,25.2583333333333,"1"
"3","male",7,"1","1","C",3,5.08193333333333,"1"
"1","female",24,"0","0","C",1,49.5042,"1"
"1","male",48,"1","0","S",2,26,"1"
"1","female",38,"0","0","C",5,45.505,"1"
"2","female",27,"0","0","S",1,10.5,"1"
"2","female",6,"0","1","S",3,11,"1"
"1","male",27,"1","0","S",2,26.55,"1"
"2","female",30,"3","0","S",2,10.5,"1"
"3","female",18,"0","0","Q",1,7.7375,"1"
"1","female",29,"0","0","S",4,52.834375,"1"
"1","male",35,"0","0","C",4,34.5099845201238,"1"
"1","male",44,"0","0","S",1,30,"1"
"1","female",21,"2","2","C",7,37.4821428571429,"1"
"3","male",31,"0","0","S",1,7.925,"1"
"2","female",30,"0","0","S",1,13,"1"
"2","female",4,"1","1","S",3,7.66666666666667,"1"
"3","male",6,"0","1","S",2,6.2375,"1"
"2","female",48,"1","2","S",5,13,"1"
"2","male",0.67,"1","1","S",2,7.25,"1"
"1","female",33,"0","0","S",3,28.8333333333333,"1"
"3","male",20,"0","0","C",1,7.2292,"1"
"1","female",36,"1","2","S",4,30,"1"
"1","female",51,"1","0","S",3,25.9861,"1"
"2","female",54,"1","3","S",2,11.5,"1"
"3","female",5,"0","0","S",2,6.2375,"1"
"1","female",43,"0","1","S",4,52.834375,"1"
"3","female",13,"0","0","C",1,7.2292,"1"
"1","female",17,"1","0","S",2,28.5,"1"
"3","female",18,"0","0","S",1,7.4958,"1"
"3","male",1,"1","2","S",4,5.14375,"1"
"1","female",49,"0","0","S",1,25.9292,"1"
"3","female",31,"0","0","S",1,8.6833,"1"
"2","female",31,"1","1","S",3,8.75,"1"
"1","male",11,"1","2","S",4,30,"1"
"3","male",0.42,"0","1","C",2,4.25835,"1"
"3","male",27,"0","0","S",1,6.975,"1"
"1","female",33,"1","0","S",2,26.55,"1"
"1","female",52,"1","1","S",4,23.375,"1"
"3","male",27,"0","0","S",1,8.6625,"1"
"3","female",27,"0","1","S",2,6.2375,"1"
"2","male",1,"0","2","C",3,12.3347333333333,"1"
"3","male",33,"0","0","Q",1,7.75,"1"
"1","female",62,"0","0","S",2,40,"1"
"3","female",15,"1","0","C",2,7.2271,"1"
"2","male",0.83,"1","1","S",3,6.25,"1"
"1","female",39,"1","1","C",3,27.7194333333333,"1"
"3","male",32,"0","0","S",8,7.061975,"1"
"1","male",45,"0","0","C",1,29.7,"1"
"1","female",30,"0","0","C",2,15.5,"1"
"1","female",38,"1","0","C",2,44.5521,"1"
"1","female",16,"0","1","S",2,19.7,"1"
"3","female",18,"0","1","S",2,4.675,"1"
"1","female",45,"1","1","S",4,41.216675,"1"
"1","male",51,"0","0","S",1,26.55,"1"
"3","female",24,"0","3","C",4,4.814575,"1"
"1","female",48,"0","0","S",1,25.9292,"1"
"2","female",42,"0","0","S",1,13,"1"
"2","female",27,"1","0","C",1,13.8583,"1"
"3","male",4,"1","1","S",3,3.7111,"1"
"1","female",47,"1","1","S",2,26.2771,"1"
"2","female",28,"1","0","C",2,12,"1"
"3","female",15,"0","0","C",1,7.225,"1"
"1","female",56,"0","1","C",3,27.7194333333333,"1"
"2","female",25,"0","1","S",2,13,"1"
"1","female",19,"0","0","S",1,30,"1"
"1","male",26,"0","0","C",1,30,"1"
